,District,Crop,Season,Stage,Attribute,Govt_Sowing_Window,Govt_Harvest_Window,Recommended_Task_Window,Optimum_Range,Slightly_Low_Range,Slightly_Low_Risk,Slightly_Low_Action,Very_Low_Range,Very_Low_Risk,Very_Low_Action,Slightly_High_Range,Slightly_High_Risk,Slightly_High_Action,Very_High_Range,Very_High_Risk,Very_High_Action,Reference_Source,Stage_Cost_INR_per_acre,Cumulative_Cost_INR_per_acre,Min_Value,Max_Value,Unit
2508,Tumakuru,Paddy,Kharif,Tillering & Vegetative Growth,Humidity,15 Jul – 14 Aug,31 Dec – 30 Jan,13 Sep – 11 Nov,75-85 %,85–90 %,Leaf disease risk,Improve aeration,>90 %,Sheath blight outbreak,Monitor field,85–90 %,Fungal disease risk (Blast),"Monitor for lesions, ensure drainage",>90 %,Severe disease outbreak (Sheath Blight),"Apply fungicide, drain field",IRRI,3000,334500,75,85,
2509,Tumakuru,Paddy,Kharif,Flowering & Panicle Initiation,Temperature,15 Jul – 14 Aug,31 Dec – 30 Jan,12 Nov – 21 Dec,22-30 °C,20–22 °C,Delayed flowering,Maintain moisture,<20 °C,Spikelet sterility,Avoid stress,30–33 °C,Poor grain set,Light irrigation,>33 °C,Complete sterility,Emergency irrigation,"IRRI, ICAR",2000,336500,22,30,°C
2510,Tumakuru,Paddy,Kharif,Flowering & Panicle Initiation,Rainfall,15 Jul – 14 Aug,31 Dec – 30 Jan,12 Nov – 21 Dec,40-60 mm/week,30–40 mm,Moisture stress,Irrigation,<30 mm,Grain abortion,Continuous irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Flower damage,Emergency drainage,FAO,2000,336500,40,60,mm/week
2511,Tumakuru,Paddy,Kharif,Flowering & Panicle Initiation,Humidity,15 Jul – 14 Aug,31 Dec – 30 Jan,12 Nov – 21 Dec,70-80 %,80–85 %,Disease risk,Improve airflow,>85 %,Blast epidemic,Close monitoring,85–90 %,Pollination interference,Avoid nitrogen top dressing,>90 %,Grain discoloration / False Smut,Apply prophylactic spray if needed,IRRI,2000,336500,70,80,
2512,Tumakuru,Paddy,Kharif,Grain Filling & Maturity,Temperature,15 Jul – 14 Aug,31 Dec – 30 Jan,22 Dec – 30 Jan,20-28 °C,28–30 °C,Reduced grain weight,Maintain moisture,<18 °C,Poor grain filling,Avoid stress,30–33 °C,Chalky grains,Maintain moisture,>33 °C,Poor grain quality,Irrigate lightly,ICAR,1500,338000,20,28,°C
2513,Tumakuru,Paddy,Kharif,Grain Filling & Maturity,Rainfall,15 Jul – 14 Aug,31 Dec – 30 Jan,22 Dec – 30 Jan,20-40 mm/week,40–50 mm,Grain discoloration,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Harvest loss,Field drainage,FAO,1500,338000,20,40,mm/week
2514,Tumakuru,Paddy,Kharif,Grain Filling & Maturity,Humidity,15 Jul – 14 Aug,31 Dec – 30 Jan,22 Dec – 30 Jan,60-70 %,70–75 %,Mold risk,Harvest at maturity,>75 %,Grain mold,Early harvest,80–85 %,Grain sprouting/discoloration,Drain field completely,>85 %,Grain quality deterioration,Harvest immediately and dry,ICAR,1500,338000,60,70,
2515,Tumakuru,Ragi,Kharif,Germination & Establishment,Temperature,1 Jul – 31 Jul,1 Dec – 31 Dec,1 Jul – 28 Jul,20-30 °C,18–20 °C,Slow germination,Ensure soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1500,307500,20,30,°C
2515,Tumakuru,Ragi,Kharif,Germination & Establishment,Soil Nitrogen,1 Jul – 31 Jul,1 Dec – 31 Dec,1 Jul – 28 Jul,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,307500,100,150,kg/ha
2515,Tumakuru,Ragi,Kharif,Germination & Establishment,Soil Phosphorus,1 Jul – 31 Jul,1 Dec – 31 Dec,1 Jul – 28 Jul,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,307500,50,75,kg/ha
2515,Tumakuru,Ragi,Kharif,Germination & Establishment,Soil Potassium,1 Jul – 31 Jul,1 Dec – 31 Dec,1 Jul – 28 Jul,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,307500,40,60,kg/ha
2516,Tumakuru,Ragi,Kharif,Germination & Establishment,Rainfall,1 Jul – 31 Jul,1 Dec – 31 Dec,1 Jul – 28 Jul,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1500,307500,20,40,mm/week
2517,Tumakuru,Ragi,Kharif,Germination & Establishment,Humidity,1 Jul – 31 Jul,1 Dec – 31 Dec,1 Jul – 28 Jul,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1500,307500,60,80,
2518,Tumakuru,Ragi,Kharif,Vegetative Growth,Temperature,1 Jul – 31 Jul,1 Dec – 31 Dec,29 Jul – 21 Sep,22-32 °C,20–22 °C,Slow growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf rolling,Mulching,>35 °C,Heat stress,Light irrigation,ICAR,2000,309500,22,32,°C
2519,Tumakuru,Ragi,Kharif,Vegetative Growth,Rainfall,1 Jul – 31 Jul,1 Dec – 31 Dec,29 Jul – 21 Sep,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2000,309500,30,60,mm/week
2520,Tumakuru,Ragi,Kharif,Vegetative Growth,Humidity,1 Jul – 31 Jul,1 Dec – 31 Dec,29 Jul – 21 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,309500,60,80,
2521,Tumakuru,Ragi,Kharif,Flowering & Grain Formation,Temperature,1 Jul – 31 Jul,1 Dec – 31 Dec,22 Sep – 6 Nov,21-30 °C,18–21 °C,Delayed flowering,Maintain moisture,<18 °C,Poor grain set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICAR,1800,311300,21,30,°C
2522,Tumakuru,Ragi,Kharif,Flowering & Grain Formation,Rainfall,1 Jul – 31 Jul,1 Dec – 31 Dec,22 Sep – 6 Nov,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,1800,311300,30,50,mm/week
2523,Tumakuru,Ragi,Kharif,Flowering & Grain Formation,Humidity,1 Jul – 31 Jul,1 Dec – 31 Dec,22 Sep – 6 Nov,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1800,311300,60,80,
2524,Tumakuru,Ragi,Kharif,Maturity & Harvesting,Temperature,1 Jul – 31 Jul,1 Dec – 31 Dec,7 Nov – 31 Dec,20-28 °C,28–30 °C,Reduced grain weight,Maintain moisture,<18 °C,Poor grain filling,Avoid stress,30–33 °C,Chalky grains,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,1500,312800,20,28,°C
2525,Tumakuru,Ragi,Kharif,Maturity & Harvesting,Rainfall,1 Jul – 31 Jul,1 Dec – 31 Dec,7 Nov – 31 Dec,20-40 mm/week,40–50 mm,Grain spoilage,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Yield loss,Field drainage,FAO,1500,312800,20,40,mm/week
2526,Tumakuru,Ragi,Kharif,Maturity & Harvesting,Humidity,1 Jul – 31 Jul,1 Dec – 31 Dec,7 Nov – 31 Dec,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1500,312800,60,80,
2527,Tumakuru,Red Gram,Kharif,Germination & Establishment,Temperature,1 May – 31 May,15 Nov – 15 Dec,1 May – 4 Jun,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICRISAT, ICAR",1600,387000,20,30,°C
2527,Tumakuru,Red Gram,Kharif,Germination & Establishment,Soil Nitrogen,1 May – 31 May,15 Nov – 15 Dec,1 May – 4 Jun,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,387000,100,150,kg/ha
2527,Tumakuru,Red Gram,Kharif,Germination & Establishment,Soil Phosphorus,1 May – 31 May,15 Nov – 15 Dec,1 May – 4 Jun,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,387000,50,75,kg/ha
2527,Tumakuru,Red Gram,Kharif,Germination & Establishment,Soil Potassium,1 May – 31 May,15 Nov – 15 Dec,1 May – 4 Jun,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,387000,40,60,kg/ha
2528,Tumakuru,Red Gram,Kharif,Germination & Establishment,Rainfall,1 May – 31 May,15 Nov – 15 Dec,1 May – 4 Jun,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1600,387000,20,40,mm/week
2529,Tumakuru,Red Gram,Kharif,Germination & Establishment,Humidity,1 May – 31 May,15 Nov – 15 Dec,1 May – 4 Jun,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1600,387000,60,80,
2530,Tumakuru,Red Gram,Kharif,Vegetative Growth,Temperature,1 May – 31 May,15 Nov – 15 Dec,5 Jun – 15 Sep,22-32 °C,20–22 °C,Slow growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICRISAT,2200,389200,22,32,°C
2531,Tumakuru,Red Gram,Kharif,Vegetative Growth,Rainfall,1 May – 31 May,15 Nov – 15 Dec,5 Jun – 15 Sep,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2200,389200,30,60,mm/week
2532,Tumakuru,Red Gram,Kharif,Vegetative Growth,Humidity,1 May – 31 May,15 Nov – 15 Dec,5 Jun – 15 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2200,389200,60,80,
2533,Tumakuru,Red Gram,Kharif,Flowering & Pod Formation,Temperature,1 May – 31 May,15 Nov – 15 Dec,16 Sep – 31 Oct,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor pod set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICRISAT,2400,391600,21,30,°C
2534,Tumakuru,Red Gram,Kharif,Flowering & Pod Formation,Rainfall,1 May – 31 May,15 Nov – 15 Dec,16 Sep – 31 Oct,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2400,391600,30,50,mm/week
2535,Tumakuru,Red Gram,Kharif,Flowering & Pod Formation,Humidity,1 May – 31 May,15 Nov – 15 Dec,16 Sep – 31 Oct,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,391600,60,80,
2536,Tumakuru,Red Gram,Kharif,Pod Development & Maturity,Temperature,1 May – 31 May,15 Nov – 15 Dec,1 Nov – 15 Dec,20-28 °C,28–30 °C,Reduced seed filling,Maintain moisture,<18 °C,Poor seed development,Avoid stress,30–33 °C,Shriveled seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2000,393600,20,28,°C
2537,Tumakuru,Red Gram,Kharif,Pod Development & Maturity,Rainfall,1 May – 31 May,15 Nov – 15 Dec,1 Nov – 15 Dec,20-40 mm/week,40–50 mm,Pod rot risk,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Pod rot,Field drainage,FAO,2000,393600,20,40,mm/week
2538,Tumakuru,Red Gram,Kharif,Pod Development & Maturity,Humidity,1 May – 31 May,15 Nov – 15 Dec,1 Nov – 15 Dec,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,393600,60,80,
2539,Tumakuru,Sesame,Kharif,Germination & Establishment,Temperature,15 Apr – 15 May,16 Aug – 15 Sep,15 Apr – 7 May,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1700,520900,20,30,°C
2539,Tumakuru,Sesame,Kharif,Germination & Establishment,Soil Nitrogen,15 Apr – 15 May,16 Aug – 15 Sep,15 Apr – 7 May,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,520900,100,150,kg/ha
2539,Tumakuru,Sesame,Kharif,Germination & Establishment,Soil Phosphorus,15 Apr – 15 May,16 Aug – 15 Sep,15 Apr – 7 May,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,520900,50,75,kg/ha
2539,Tumakuru,Sesame,Kharif,Germination & Establishment,Soil Potassium,15 Apr – 15 May,16 Aug – 15 Sep,15 Apr – 7 May,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,520900,40,60,kg/ha
2540,Tumakuru,Sesame,Kharif,Germination & Establishment,Rainfall,15 Apr – 15 May,16 Aug – 15 Sep,15 Apr – 7 May,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1700,520900,20,40,mm/week
2541,Tumakuru,Sesame,Kharif,Germination & Establishment,Humidity,15 Apr – 15 May,16 Aug – 15 Sep,15 Apr – 7 May,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1700,520900,60,80,
2542,Tumakuru,Sesame,Kharif,Vegetative Growth,Temperature,15 Apr – 15 May,16 Aug – 15 Sep,8 May – 22 Jun,22-32 °C,20–22 °C,Slow vegetative growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICAR,2400,523300,22,32,°C
2543,Tumakuru,Sesame,Kharif,Vegetative Growth,Rainfall,15 Apr – 15 May,16 Aug – 15 Sep,8 May – 22 Jun,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2400,523300,30,60,mm/week
2544,Tumakuru,Sesame,Kharif,Vegetative Growth,Humidity,15 Apr – 15 May,16 Aug – 15 Sep,8 May – 22 Jun,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,523300,60,80,
2545,Tumakuru,Sesame,Kharif,Flowering & Capsule Formation,Temperature,15 Apr – 15 May,16 Aug – 15 Sep,23 Jun – 31 Jul,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor seed set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,"ICAR, ICRISAT",2600,525900,21,30,°C
2546,Tumakuru,Sesame,Kharif,Flowering & Capsule Formation,Rainfall,15 Apr – 15 May,16 Aug – 15 Sep,23 Jun – 31 Jul,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2600,525900,30,50,mm/week
2547,Tumakuru,Sesame,Kharif,Flowering & Capsule Formation,Humidity,15 Apr – 15 May,16 Aug – 15 Sep,23 Jun – 31 Jul,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2600,525900,60,80,
2548,Tumakuru,Sesame,Kharif,Maturity & Harvesting,Temperature,15 Apr – 15 May,16 Aug – 15 Sep,1 Aug – 15 Sep,20-28 °C,28–30 °C,Reduced seed weight,Maintain moisture,<18 °C,Poor filling,Avoid stress,30–33 °C,Chalky seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2100,528000,20,28,°C
2549,Tumakuru,Sesame,Kharif,Maturity & Harvesting,Rainfall,15 Apr – 15 May,16 Aug – 15 Sep,1 Aug – 15 Sep,20-40 mm/week,40–50 mm,Seed spoilage,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Yield loss,Field drainage,FAO,2100,528000,20,40,mm/week
2550,Tumakuru,Sesame,Kharif,Maturity & Harvesting,Humidity,15 Apr – 15 May,16 Aug – 15 Sep,1 Aug – 15 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2100,528000,60,80,
2551,Tumakuru,Sunflower,Kharif,Germination & Establishment,Temperature,15 Jun – 15 Jul,1 Oct – 31 Oct,15 Jun – 5 Jul,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1700,529700,20,30,°C
2551,Tumakuru,Sunflower,Kharif,Germination & Establishment,Soil Nitrogen,15 Jun – 15 Jul,1 Oct – 31 Oct,15 Jun – 5 Jul,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,529700,100,150,kg/ha
2551,Tumakuru,Sunflower,Kharif,Germination & Establishment,Soil Phosphorus,15 Jun – 15 Jul,1 Oct – 31 Oct,15 Jun – 5 Jul,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,529700,50,75,kg/ha
2551,Tumakuru,Sunflower,Kharif,Germination & Establishment,Soil Potassium,15 Jun – 15 Jul,1 Oct – 31 Oct,15 Jun – 5 Jul,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1700,529700,40,60,kg/ha
2552,Tumakuru,Sunflower,Kharif,Germination & Establishment,Rainfall,15 Jun – 15 Jul,1 Oct – 31 Oct,15 Jun – 5 Jul,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1700,529700,20,40,mm/week
2553,Tumakuru,Sunflower,Kharif,Germination & Establishment,Humidity,15 Jun – 15 Jul,1 Oct – 31 Oct,15 Jun – 5 Jul,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1700,529700,60,80,
2554,Tumakuru,Sunflower,Kharif,Vegetative Growth,Temperature,15 Jun – 15 Jul,1 Oct – 31 Oct,6 Jul – 16 Aug,22-32 °C,20–22 °C,Slow vegetative growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICAR,2400,532100,22,32,°C
2555,Tumakuru,Sunflower,Kharif,Vegetative Growth,Rainfall,15 Jun – 15 Jul,1 Oct – 31 Oct,6 Jul – 16 Aug,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2400,532100,30,60,mm/week
2556,Tumakuru,Sunflower,Kharif,Vegetative Growth,Humidity,15 Jun – 15 Jul,1 Oct – 31 Oct,6 Jul – 16 Aug,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,532100,60,80,
2557,Tumakuru,Sunflower,Kharif,Flowering & Head Formation,Temperature,15 Jun – 15 Jul,1 Oct – 31 Oct,17 Aug – 20 Sep,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor seed set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,"ICAR, ICRISAT",2600,534700,21,30,°C
2558,Tumakuru,Sunflower,Kharif,Flowering & Head Formation,Rainfall,15 Jun – 15 Jul,1 Oct – 31 Oct,17 Aug – 20 Sep,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2600,534700,30,50,mm/week
2559,Tumakuru,Sunflower,Kharif,Flowering & Head Formation,Humidity,15 Jun – 15 Jul,1 Oct – 31 Oct,17 Aug – 20 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2600,534700,60,80,
2560,Tumakuru,Sunflower,Kharif,Seed Filling & Maturity,Temperature,15 Jun – 15 Jul,1 Oct – 31 Oct,21 Sep – 31 Oct,20-28 °C,28–30 °C,Reduced seed weight,Maintain moisture,<18 °C,Poor filling,Avoid stress,30–33 °C,Chalky seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2100,536800,20,28,°C
2561,Tumakuru,Sunflower,Kharif,Seed Filling & Maturity,Rainfall,15 Jun – 15 Jul,1 Oct – 31 Oct,21 Sep – 31 Oct,20-40 mm/week,40–50 mm,Seed spoilage,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Yield loss,Field drainage,FAO,2100,536800,20,40,mm/week
2562,Tumakuru,Sunflower,Kharif,Seed Filling & Maturity,Humidity,15 Jun – 15 Jul,1 Oct – 31 Oct,21 Sep – 31 Oct,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2100,536800,60,80,
